time,value
2024-09-02T01:33:10.964808702Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:11.964025444Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:13.003242667Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:14.052805416Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:15.018117946Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:16.263508803Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:17.193975027Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:17.999257552Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:19.012416498Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:20.414170526Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:21.311686584Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:22.32278155Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:23.319431646Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:24.3390276Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:25.743319454Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:26.319084444Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:33:27.365188677Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:34:36.637140807Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:35:36.592581285Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:36:40.928600356Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:37:41.277052402Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:38:40.956849502Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:39:40.980562501Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:40:40.972732514Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:45:11.446806774Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T01:46:32.22077544Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:14:58.826043935Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:15:58.86616144Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:16:58.897239656Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:17:58.897487687Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:21:00.760718073Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:22:00.745250615Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:23:00.761268407Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:24:00.805922833Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:25:00.794677953Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:26:00.823735589Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:27:00.813207432Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:28:00.794567967Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:31:02.797105392Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:32:02.814645063Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:33:02.788922215Z,{"lat":-37.8442549,"lon":145.1131051}
2024-09-02T02:34:02.911952362Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:35:02.917923145Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:36:02.833297357Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:37:03.639456456Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:39:04.676660104Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:40:04.678416087Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:42:33.799693071Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:43:33.79598916Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:44:52.25585187Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:50:14.742626859Z,{"lat":-37.8442524,"lon":145.1131061}
2024-09-02T02:58:03.548282295Z,{"lat":-37.8442524,"lon":145.1131061}
